symbol,name,parent
552,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania,55
553,Pola kempingowe (włączając pola dla pojazdów kempingowych) i pola namiotowe,55
559,Pozostałe zakwaterowanie,55
561,Restauracje i pozostałe placówki gastronomiczne,56
562,Przygotowywanie żywności dla odbiorców zewnętrznych (katering) i pozostała gastronomiczna działalność usługowa,56
563,Przygotowywanie i podawanie napojów,56
581,"Wydawanie książek i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania",58
582,Działalność wydawnicza w zakresie oprogramowania,58
591,"Działalność związana z filmami, nagraniami wideo i programami telewizyjnymi",59
592,Działalność w zakresie nagrań dźwiękowych i muzycznych,59
601,Nadawanie programów radiofonicznych,60
602,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych,60
611,Działalność w zakresie telekomunikacji przewodowej,61
612,"Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej",61
613,Działalność w zakresie telekomunikacji satelitarnej,61
619,Działalność w zakresie pozostałej telekomunikacji,61
620,DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIAŁALNOŚĆ POWIĄZANA,62
631,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,63
639,Pozostała działalność usługowa w zakresie informacji,63
641,Pośrednictwo pieniężne,64
642,Działalność holdingów finansowych,64
