symbol,name,parent
6629,Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne,662
6630,Działalność związana z zarządzaniem funduszami,663
6810,Kupno i sprzedaż nieruchomości na własny rachunek,681
6820,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,682
6831,Pośrednictwo w obrocie nieruchomościami,683
6832,Zarządzanie nieruchomościami wykonywane na zlecenie,683
6910,Działalność prawnicza,691
6920,Działalność rachunkowo-księgowa; doradztwo podatkowe,692
7010,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych",701
7021,Stosunki międzyludzkie (public relations) i komunikacja,702
7022,Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania,702
7111,Działalność w zakresie architektury,711
7112,Działalność w zakresie inżynierii i związane z nią doradztwo techniczne,711
7120,Badania i analizy techniczne,712
7211,Badania naukowe i prace rozwojowe w dziedzinie biotechnologii,721
2311,Produkcja szkła płaskiego,231
4641,Sprzedaż hurtowa wyrobów tekstylnych,464
7219,Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych,721
2312,Kształtowanie i obróbka szkła płaskiego,231
2313,Produkcja szkła gospodarczego,231
2314,Produkcja włókien szklanych,231
2319,"Produkcja i obróbka pozostałego szkła, włączając szkło techniczne",231
2320,Produkcja wyrobów ogniotrwałych,232
2331,Produkcja ceramicznych kafli i płytek,233
2332,"Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny",233
2341,Produkcja ceramicznych wyrobów stołowych i ozdobnych,234
2342,Produkcja ceramicznych wyrobów sanitarnych,234
2343,Produkcja ceramicznych izolatorów i osłon izolacyjnych,234
2344,Produkcja pozostałych technicznych wyrobów ceramicznych,234
2349,Produkcja pozostałych wyrobów ceramicznych,234
2351,Produkcja cementu,235
2352,Produkcja wapna i gipsu,235
2361,Produkcja wyrobów budowlanych z betonu,236
2362,Produkcja wyrobów budowlanych z gipsu,236
2363,Produkcja masy betonowej prefabrykowanej,236
2364,Produkcja zaprawy murarskiej,236
2365,Produkcja cementu wzmocnionego włóknem,236
2369,"Produkcja pozostałych wyrobów z betonu, gipsu i cementu",236
2370,"Cięcie, formowanie i wykańczanie kamienia",237
2391,Produkcja wyrobów ściernych,239
2399,"Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana",239
2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",241
2420,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali",242
2431,Produkcja prętów ciągnionych na zimno,243
2432,Produkcja wyrobów płaskich walcowanych na zimno,243
2433,Produkcja wyrobów formowanych na zimno,243
2434,Produkcja drutu,243
2441,Produkcja metali szlachetnych,244
2442,Produkcja aluminium,244
2443,"Produkcja ołowiu, cynku i cyny",244
2444,Produkcja miedzi,244
2445,Produkcja pozostałych metali nieżelaznych,244
2446,Wytwarzanie paliw jądrowych,244
2451,Odlewnictwo żeliwa,245
2452,Odlewnictwo staliwa,245
2453,Odlewnictwo metali lekkich,245
2454,Odlewnictwo pozostałych metali nieżelaznych,245
2511,Produkcja konstrukcji metalowych i ich części,251
2512,Produkcja metalowych elementów stolarki budowlanej,251
4642,Sprzedaż hurtowa odzieży i obuwia,464
4643,Sprzedaż hurtowa elektrycznych artykułów użytku domowego,464
4644,"Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących",464
4645,Sprzedaż hurtowa perfum i kosmetyków,464
4646,Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych,464
4647,"Sprzedaż hurtowa mebli, dywanów i sprzętu oświetleniowego",464
4648,"Sprzedaż hurtowa zegarków, zegarów i biżuterii",464
4649,Sprzedaż hurtowa pozostałych artykułów użytku domowego,464
4651,"Sprzedaż hurtowa komputerów, urządzeń peryferyjnych i oprogramowania",465
4652,Sprzedaż hurtowa sprzętu elektronicznego i telekomunikacyjnego oraz części do niego,465
4661,Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia,466
